Title,MH1843,HGPP1849,HT1886,CS1908,CH1941,SDAH,NZK,WN,HSAB1852,HT1869
A beautiful star arose one night,,,,242,,,,,,
A Call for Reapers,,,,,448,,,,,
A child of the King,,,,514,614,468,,,,
A clean heart,,,,19,634,,,,,
A Closer Walk,,,,,383,,,,,
A closer walk,,,,160,,,,,,
A cry from Macedonia,,,,617,,,,,,
A diligent and grateful heart.,,,,,,639,,,,
A few more years,,,,906,,,,,,
A few more years shall roll,,,,,372,,,,,
A friend in Jesus,,,,643,,,,,,
A glory gilds the sacred page,,,,363,,,,,,
A glory in the word we find,,,,,656,,,,,
A glory in the word we find,,,,362,,,,,,
A great and mighty wonder,,,,,672,,,,,
A heart of praise,,,,183,,,,,,
A hymn of glory let us sing. ,,,,,,228,,,,
A little light,,,,761,,,,,,
A mighty fortress,,,,681,,,,,,
A mighty fortress is our God.,,,,,261,506,,,,
A new song,,,,235,,,,,,
A Present Help,,,,,141,,,,,
A present help,,,,458,,,,,,
A present help,,,,649,,,,,,
A quiet place,,,,,,503,,,,
A ruler once came to Jesus by night,,,,26,,,,,,
A Shelter in the Time of Storm,,,,,585,528,,,,
A shelter in the time of storm,,,,505,,,,,,
A sinner like me,,,,102,,,,,,
A Soldier of the Cross,,,,,356,,,,,
A soldier of the cross,,,,791,,,,,,
A song of heaven and homeland..,,,,,,472,,,,
A stranger here,,,,842,,,,,,
A Thankful Heart,,,,,333,,,,,
A thankful heart,,,,812,,,,,,
A thousand tongues,,,,450,,,,,,
A thrilling cry,,,,847,,,,,,
A wonderful Saviour is Jesus my Lord,,,,,651,520,,,,
A Year of Precious Blessings,,,,,480,,,,,
A year of precious blessings,,,,475,,,,,,
Abide with me,,,,655,,,,,,
"Abide with me, 'tis eventide.",,,,,,46,,,,
"Abide with me, fast falls the",,,,,50,50,91,133,,
Abide with us,,,,640,,,,,,
Abiding and confiding,,,,562,,,,,,
Able to deliver,,,,30,,,,,,
Above the clouds that veil the blue,,,,851,,,,,,
Above these shades,,,,813,,,,,,
Again Our Earthly Cares We Leave,,,,,25,,,,,
Again the day awakes in wondrous beauty,,,,374,,,,,,
Again the Day Returns,,,,,466,,,,,
Again the day returns,,,,380,,,,,,
Again We Meet,,,,,26,,,,,
Again we meet,,,,381,,,,,,
"Again, as evening's shadow falls",,,,,56,,,,,
Alas! and Did My Saviour Bleed?,,,,,124,163,,,,
Alas! and did my Saviour bleed?,,,,150,,,,,,
Alas! and did my Saviour bleed?,,,,212,,,,,,
All Beautiful the March of Days,,,,,94,,,,,
All creatures of our God and King,,,,,,2,,,,
All for Jesus,,,,310,,,,,,
"All Glory, Laud, and Honor",,,,,15,230,,,,
All Hail the Power of Jesus' Name,,,,258,156,229,4,4,,
All Hail the Power of Jesus' Name,,,,258,157,229,4,4,,
All hail the power of Jesus’ name,,,,257,,,,,,
All hail the power of Jesus’ name,,,,258,,,,,,
All hail the power of Jesus’ name,,,,259,,,,,,
All have gone astray,,,,114,,,,,,
All my class,,,,553,,,,,,
All my doubts I give to Jesus,,,,,,,,174,,
All My Heart This Night Rejoices,,,,,110,,,,,
All my hope on God is founded,,,,,,5,,,,
All People That on Earth Do Dwell,,,,,13,16,,,,
All praise to our redeeming Lord,,,,,101,,,53,,
"All praise to Thee, my God",,,,,53,53,,,,
All that thrills my soul....,,,,,,189,,,,
All the way,,,,611,,,,,,
All the way my Saviour leads me,,,,,259,516,155,224,,
All things are Thine,,,,422,,,,,,
All things are Thine.,,,,,483,376,,,,
All things bright and beautiful,,,,,421,93,,,,
"All things come of Thee, O Lord",,,,472,,,,,,
All things come of Thee...,,,,,,665,,,,
All things praise God,,,,,,,,31,,
All to Jesus I surrender,,,,,573,309,122,168,,
All to Jesus I surrender,,,,51,,,,,,
All who love and serve your city...,,,,,,356,,,,
"All ye mountains, praise the Lord",,,,,,23,,,,
"Alleluia, sing to Jesus",,,,,,167,,,,
Alleluia! Alleluia!,,,,285,,,,,,
"Almighty Father, hear our prayer",,,,,687,693,,,,
Almighty King,,,,391,,,,,,
Almost Persuaded,,,,,228,,,,,
Almost persuaded,,,,89,,,,,,
"Alone with Thee, my God, in prayer",,,,,335,,,,,
Always cheerful,,,,284,,,,,,
Always with us,,,,731,,,,,,
Am I a soldier of the cross,,,,791,,,,,,
Am I a soldier of the cross?,,,,,356,609,,115,,
Amazing grace,,,,765,,,,,,
Amazing grace  how sweet the sound,,,,,295,108,,,,
Amens,,,,,,663,,,,
America,,,,,510,,,,,
America the Beautiful,,,,,503,,,,,
An open Bible for the world,,,,482,,,,,,
An upper room did our Lord,,,,,,397,,,,
Ancient of Days,,,,,680,,,,,
And can it be that I should gain...,,,,,,198,,,,
And have the bright immensities..,,,,,,168,,,,
And must I part with all of self,,,,169,,,,,,
Angel voices ever singing,,,,,19,,,,,
Angel voices sweetly singing,,,,,556,,,,,
Angel voices sweetly singing,,,,889,,,,,,
"Angel voices, ever singing",,,,269,,,,,,
Angels from the realms of glory,,,,,113,119,,,,
Angels from the realms of glory,,,,266,,,,,,
Angels hovering round,,,,175,,,,,,
Angels of Jesus,,,,,375,,,,,
Angels of Jesus,,,,,376,,,,,
Angels we have heard on high,,,,,,142,,,,
Angry words,,,,,,,150,219,,
"Angry words! oh, let them never",,,,581,,,,,,
Anniversary Song,,,,,649,,,,,
Another six days' work is done,,,,,456,,81,118,,
Another six days’ work,,,,430,,,,,,
Another year,,,,822,,,,,,
"Answer the call, ye brave men",,,,673,,,,,,
Anywhere with Jesus,,,,,589,508,133,195,,
Anywhere with Jesus,,,,535,,,,,,
Anywhere with Jesus,,,,701,,,,,,
"Anywhere, Dear Saviour",,,,,344,,,,,
"Anywhere, dear Saviour",,,,701,,,,,,
Are you Christ’s light-bearer?,,,,481,,,,,,
Are you heavy-laden and with sorrow tried?,,,,524,,,,,,
Are you ready,,,,,,,,243,,
Are you ready for the Bridegroom,,,,868,,,,,,
Are you tenting on the lowlands,,,,54,,,,,,
Are you washed in the blood?,,,,88,,,,,,
Are you weary,,,,,,,124,171,,
"Are you weary, are you heavy hearted?",,,,515,,,,,,
"Arise, my soul, arise",,,,,,38,,,,
"Arise, my soul, arise",,,,123,,,,,,
Around the world the chorus rings,,,,473,,,,,,
"Art thou weary, art thou languid",,,,,341,,,,,
"Art thou weary, art thou languid?..",,,,,,,112,,,
Art thou weary?,,,,104,,,,,,
As birds unto the genial homeland,,,,,,395,,,,
As it fell upon a night.,,,,,,129,,,,
As Jacob with travel was weary,,,,,,628,,,,
As men of old their firstfruits,,,,,,556,,,,
As of old when the hosts of Israel,,,,518,,,,,,
As pants the hart,,,,710,,,,,,
As pants the hart for cooling........,,,,,,113,,,,
As saints of old......,,,,,,556,,,,
As the bridegroom to his chosen..,,,,,,459,,,,
As Thou wilt,,,,660,,,,,,
As water to the thirsty,,,,,,460,,,,
As we come to You in prayer.,,,,,,671,,,,
As with gladness men of old,,,,,112,123,,,,
As with gladness men of old,,,,267,,,,,,
"As You have promised, Lord",,,,,,682,,,,
Ashamed of Jesus,,,,,152,,,,,
Ashamed of Jesus,,,,111,,,,,,
Ask not to be excused,,,,,,,57,79,,
Ask not to be excused,,,,513,,,,,,
Asleep in Jesus,,,,,489,,187,281,,
Asleep in Jesus,,,,846,,,,,,
At first I prayed for light,,,,,328,488,,,,
At first I prayed for light,,,,830,,,,,,
At the cross,,,,,,163,,,,
At the cross,,,,212,,,,,,
At the Door,,,,,546,,,,,
At the door,,,,84,,,,,,
At the door,,,,112,,,,,,
At the feast of Belshazzar and a thousand,,,,48,,,,,,
At the feet of Jesus,,,,648,,,,,,
At the name of Jesus.,,,,,,232,,,,
At Thy feet,,,,412,,,,,,
Attempt His praise,,,,418,,,,,,
Awake my soul,,,,214,,,,,,
Awake my soul! stretch ev’ry nerve,,,,793,,,,,,
"Awake, awake to love and work.",,,,,,576,,,,
"Awake, my soul stretch every nerve",,,,,355,611,66,97,,
"Awake, my soul, and With the sun",,,,,44,,,,,
"Awake, my soul, in joyful lays",,,,,667,,,,,
"Awake, my soul, to joyful lays",,,,367,,,,,,
"Awake, ye saints",,,,896,,,,,,
"Awake, ye saints, and raise your eyes",,,,,175,,,,,
"Awake! Jerusalem, awake",,,,,293,,,,,
Away from care,,,,810,,,,,,
Away in a manger,,,,,,124,,,,
Away the bowl!,,,,585,,,,,,
Balm in Gilead,,,,,,475,,,,
